type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Masaba Masaba,"August 28, 2020",2020,TV-MA,"International TV Shows, TV Comedies, TV Dramas",Netflix,1
TV Show,Her Mother's Killer,"August 26, 2020",2020,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,1
TV Show,Million Dollar Beach House,"August 26, 2020",2020,TV-MA,Reality TV,Netflix,1
TV Show,Emily's Wonder Lab,"August 25, 2020",2020,TV-Y,Kids' TV,Netflix,1
TV Show,Baewatch: Parental Guidance,"August 22, 2020",2019,TV-MA,"British TV Shows, Reality TV, Romantic TV Shows",Netflix,1
TV Show,Ojos in d' House,"August 22, 2020",2013,TV-G,"International TV Shows, TV Comedies",Netflix,1
TV Show,Hoops,"August 21, 2020",2020,TV-MA,TV Comedies,Netflix,1
TV Show,Goedam,"August 20, 2020",2020,TV-MA,"International TV Shows, TV Horror, TV Mysteries",Netflix,1
TV Show,DeMarcus Family Rules,"August 19, 2020",2020,TV-14,Reality TV,Netflix,1
TV Show,High Score,"August 19, 2020",2020,TV-14,"Docuseries, Science & Nature TV",Netflix,1
TV Show,Dérè: An African Tale,"August 15, 2020",2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,1
TV Show,Teenage Bounty Hunters,"August 14, 2020",2020,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",Netflix,1
TV Show,The Great Heist,"August 14, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Zoids Wild,"August 14, 2020",2018,TV-Y7,"Anime Series, Kids' TV",Netflix,1
TV Show,(Un)Well,"August 12, 2020",2020,TV-MA,Reality TV,Netflix,1
TV Show,GAME ON: A Comedy Crossover Event,"August 10, 2020",2020,TV-G,"Kids' TV, TV Comedies",Netflix,1
TV Show,The Governor,"August 8, 2020",2016,TV-14,"International TV Shows, TV Dramas",Netflix,1
TV Show,Sing On! Germany,"August 7, 2020",2020,TV-PG,"International TV Shows, Reality TV",Netflix,1
TV Show,Tiny Creatures,"August 7, 2020",2020,TV-PG,"Docuseries, Science & Nature TV, TV Action & Adventure",Netflix,1
