type,title,date_added,release_year,rating,duration_seasons,listed_in,streaming_platform
TV Show,Kochoki,"August 6, 2019",2019,TV-14,1,Anime,Hulu
TV Show,The Ones Within,"August 6, 2019",2019,TV-14,1,Anime,Hulu
TV Show,ASTRA LOST IN SPACE,"August 2, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Big Little Lies,"August 2, 2019",2017,TV-MA,2,"Crime, Drama, Mystery",Hulu
TV Show,"Demon Lord, Retry!","August 2, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Hackerville,"August 1, 2019",2019,TV-MA,1,"Action, Adventure, Crime",Hulu
TV Show,Four Weddings and a Funeral,"July 31, 2019",2019,TV-MA,1,"Comedy, Romance",Hulu
TV Show,Light as a Feather,"July 26, 2019",2018,TV-14,2,"Drama, Horror, Teen",Hulu
TV Show,Blue Bloods,"July 25, 2019",2011,TV-14,9,"Crime, Drama",Hulu
TV Show,NASA’s Look at 50 Years of Apollo,"July 19, 2019",2018,TV-G,1,"Documentaries, History, Lifestyle & Culture",Hulu
TV Show,Parker Solar Probe Launch Coverage,"July 19, 2019",2018,TV-G,1,"Documentaries, Lifestyle & Culture, News",Hulu
TV Show,Tour of the Moon 4k Redux,"July 19, 2019",2018,TV-G,1,"Documentaries, Lifestyle & Culture, Music",Hulu
TV Show,Veronica Mars,"July 19, 2019",2019,TV-14,4,"Crime, Drama, Teen",Hulu
TV Show,Killer Unknown,"July 15, 2019",2018,TV-14,1,"Crime, Documentaries, Drama",Hulu
TV Show,Love It or List It,"July 15, 2019",2008,TV-PG,3,"Family, Lifestyle & Culture",Hulu
TV Show,Clique,"July 13, 2019",2017,TV-14,2,"Drama, Thriller",Hulu
TV Show,Harlots,"July 10, 2019",2017,TV-MA,3,"Drama, International",Hulu
TV Show,The Amazing World of Gumball,"July 5, 2019",2011,TV-Y7,6,"Cartoons, Comedy, Family",Hulu
TV Show,The Venture Bros.,"July 5, 2019",2003,TV-14,7,"Adult Animation, Comedy",Hulu
TV Show,Chernobyl,"July 2, 2019",2019,TV-MA,1,"Drama, History",Hulu
TV Show,Nightwatch Nation,"July 1, 2019",2018,TV-14,1,"Documentaries, Reality",Hulu
TV Show,Project Runway,"July 1, 2019",2005,TV-PG,9,"Lifestyle & Culture, Reality",Hulu
TV Show,Stargate SG-1,"June 29, 2019",1997,TV-14,10,"Action, Adventure, Family",Hulu
TV Show,El Jardin De Bronce,"June 23, 2019",2017,TV-MA,2,"Drama, International, Latino",Hulu
TV Show,The Bravest Knight,"June 21, 2019",2019,TV-PG,1,"Kids, LGBTQ+",Hulu
TV Show,The Riveras,"June 21, 2019",2016,TV-PG,2,"Latino, Music, Reality",Hulu
TV Show,12 Monkeys,"June 15, 2019",2014,TV-14,4,"Action, Adventure, Drama",Hulu
TV Show,El Negocio,"June 10, 2019",2014,TV-MA,4,"Comedy, Drama, Latino",Hulu
TV Show,The Weekly,"June 3, 2019",2019,TV-MA,1,News,Hulu
TV Show,Blinded by the Lights,"June 1, 2019",2019,TV-MA,1,"Crime, Drama, International",Hulu
TV Show,Angie Tribeca,"May 30, 2019",2016,TV-14,4,"Comedy, Sitcom",Hulu
TV Show,Broad City,"May 27, 2019",2014,TV-14,5,"Comedy, Sitcom",Hulu
TV Show,The Big Valley,"May 25, 2019",1965,TV-PG,4,"Action, Adventure, Drama",Hulu
TV Show,Baywatch,"May 23, 2019",1989,TV-PG,11,"Action, Adventure, Classics",Hulu
TV Show,Beat Shazam,"May 21, 2019",2017,TV-PG,1,"Family, Game Shows, Music",Hulu
TV Show,Catch-22,"May 17, 2019",2019,TV-MA,1,Drama,Hulu
TV Show,Counting On,"May 15, 2019",2015,TV-PG,2,"Documentaries, Reality",Hulu
TV Show,Diesel Brothers,"May 15, 2019",2016,TV-14,2,"Lifestyle & Culture, Reality, Sports",Hulu
TV Show,Entre Nos,"May 15, 2019",2017,TV-MA,1,"Comedy, Latino, Stand Up",Hulu
TV Show,Good Bones,"May 15, 2019",2016,TV-G,2,"Lifestyle & Culture, Reality",Hulu
TV Show,Professional Fighters League,"May 10, 2019",2017,TV-14,1,Sports,Hulu
TV Show,Wise Man's Grandchild,"May 10, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,RobiHachi,"May 8, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Afterlost,"May 7, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Fairy gone,"May 7, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,MIX,"May 6, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Drunk History,"May 4, 2019",2013,TV-14,6,"Comedy, History",Hulu
TV Show,Voltron: Defender of the Universe,"April 26, 2019",1984,TV-Y7,3,"Anime, Family, Kids",Hulu
TV Show,I Am the Night,"April 18, 2019",2019,TV-MA,1,"Drama, Mystery",Hulu
TV Show,What’s Wrong With Secretary Kim,"April 17, 2019",2018,TV-14,1,"Drama, International",Hulu
TV Show,One-Punch Man,"April 16, 2019",2015,TV-MA,2,"Action, Adventure, Anime",Hulu
TV Show,Superstructures: Engineering Marvels,"April 16, 2019",2019,TV-PG,1,"Documentaries, Science & Technology",Hulu
TV Show,Barefoot Contessa,"April 15, 2019",2002,TV-G,1,Cooking & Food,Hulu
TV Show,The Last Alaskans,"April 15, 2019",2015,TV-14,1,"Adventure, Documentaries, Reality",Hulu
TV Show,The Last Ship,"April 11, 2019",2014,TV-14,5,"Action, Drama",Hulu
TV Show,Cults and Extreme Belief,"April 1, 2019",2018,TV-14,1,Documentaries,Hulu
TV Show,Legendary Catch,"March 29, 2019",2019,TV-PG,1,"Action, Adventure, Documentaries",Hulu
TV Show,She-Ra: Princess of Power,"March 29, 2019",1985,TV-Y7,2,"Action, Adventure, Family",Hulu
TV Show,Cardinal,"March 22, 2019",2017,TV-MA,3,"Action, Adventure, Crime",Hulu
TV Show,Miami Vice,"March 22, 2019",1984,TV-PG,5,"Action, Adventure, Drama",Hulu
TV Show,Mental Samurai,"March 20, 2019",2019,TV-PG,1,"Game Shows, Reality",Hulu
TV Show,The Act,"March 20, 2019",2019,TV-MA,1,"Crime, Drama",Hulu
TV Show,MasterChef Junior,"March 13, 2019",2013,TV-PG,7,"Cooking & Food, Family, Reality",Hulu
TV Show,American Gods,"March 10, 2019",2017,TV-MA,2,"Black Stories, Drama, Mystery",Hulu
TV Show,"Drugs, Inc.","March 8, 2019",2010,TV-14,2,Documentaries,Hulu
TV Show,Hang-Ups,"March 8, 2019",2018,TV-14,1,Comedy,Hulu
TV Show,"Underworld, Inc.","March 8, 2019",2015,TV-14,2,"Crime, Documentaries, Drama",Hulu
